battery_percentage,distance,total_chargers,occupied_chargers,queue_length,charging_speed,wait_time
11,0.1513,6,0,0,60,0
11,0.1888,4,0,0,60,0
11,0.1631,5,0,0,60,0
11,0.1317,3,0,0,60,0
11,0.0713,8,0,0,60,0
18,0.0223,6,0,0,60,0
18,0.0801,4,0,0,60,0
18,0.0676,5,0,0,60,0
18,0.0149,3,0,0,60,0
18,0.1422,8,1,0,60,0
11,0.1582,6,1,0,60,0
11,0.2159,4,0,0,60,0
11,0.2015,5,0,0,60,0
11,0.1428,3,0,0,60,0
11,0.0906,8,1,0,60,0
54,0.128,6,1,0,60,0
54,0.1842,4,0,0,60,0
54,0.1653,5,0,0,60,0
54,0.1088,3,0,0,60,0
54,0.0495,8,2,0,60,0
47,0.0795,6,1,0,60,0
47,0.1279,4,0,0,60,0
47,0.1054,5,0,0,60,0
47,0.0586,3,0,0,60,0
47,0.0842,8,3,0,60,0
37,0.0793,6,2,0,60,0
37,0.0567,4,0,0,60,0
37,0.0385,5,0,0,60,0
37,0.0841,3,0,0,60,0
37,0.1944,8,3,0,60,0
7,0.1086,6,2,0,60,0
7,0.1317,4,0,0,60,0
7,0.1414,5,1,0,60,0
7,0.12,3,0,0,60,0
7,0.2239,8,3,0,60,0
38,0.1245,6,3,0,60,0
38,0.1533,4,0,0,60,0
38,0.1272,5,1,0,60,0
38,0.1074,3,0,0,60,0
38,0.1025,8,3,0,60,0
11,0.1277,6,3,0,60,0
11,0.1771,4,0,0,60,0
11,0.1541,5,1,0,60,0
11,0.1067,3,0,0,60,0
11,0.0362,8,4,0,60,0
46,0.1464,6,3,0,60,0
46,0.1867,4,0,0,60,0
46,0.1614,5,1,0,60,0
46,0.1263,3,0,0,60,0
46,0.0604,8,5,0,60,0
46,0.0733,6,3,0,60,0
46,0.1223,4,0,0,60,0
46,0.1188,5,1,0,60,0
46,0.0729,3,0,0,60,0
46,0.1564,8,6,0,60,0
5,0.1711,6,3,0,60,0
5,0.2283,4,0,0,60,0
5,0.2108,5,2,0,60,0
5,0.1532,3,0,0,60,0
5,0.0643,8,6,0,60,0
37,0.1614,6,3,0,60,0
37,0.1923,4,0,0,60,0
37,0.1662,5,2,0,60,0
37,0.1432,3,0,0,60,0
37,0.0961,8,7,0,60,0
41,0.0762,6,3,0,60,0
41,0.072,4,1,0,60,0
41,0.089,5,2,0,60,0
41,0.0956,3,0,0,60,0
41,0.2286,8,7,0,60,0
21,0.1538,6,3,0,60,0
21,0.207,4,2,0,60,0
21,0.1856,5,2,0,60,0
21,0.1333,3,0,0,60,0
21,0.0145,8,7,0,60,0
25,0.036,6,3,0,60,0
25,0.0831,4,2,0,60,0
25,0.0798,5,2,0,60,0
25,0.0433,3,0,0,60,0
25,0.1632,8,8,0,60,15
40,0.1111,6,4,0,60,0
40,0.1685,4,2,0,60,0
40,0.1561,5,2,0,60,0
40,0.0979,3,0,0,60,0
40,0.1028,8,8,0,60,15
49,0.1622,6,4,0,60,0
49,0.2075,4,2,0,60,0
49,0.1831,5,2,0,60,0
49,0.1414,3,1,0,60,0
49,0.0368,8,8,0,60,15
30,0.0472,6,4,0,60,0
30,0.0568,4,2,0,60,0
30,0.0308,5,3,0,60,0
30,0.0472,3,1,0,60,0
30,0.1625,8,8,0,60,15
26,0.0905,6,4,0,60,0
26,0.1045,4,2,0,60,0
26,0.0787,5,4,0,60,0
26,0.0803,3,1,0,60,0
26,0.1424,8,8,0,60,15
